Strike,Last,T
5925,105.5400085,17
5930,104.9900055,17
5935,101.7100067,17
5940,95.54000854,17
5945,93.66999817,17
5950,89.80000305,17
5955,87.69000244,17
5960,88.02000427,17
5965,89,17
5970,79.1000061,17
5975,74,17
5980,72,17
5985,71.5,17
5990,69.19000244,17
5995,65.1000061,17
6000,60.40000916,17
6005,59.52999878,17
6010,55.19999695,17
6015,55.19999695,17
6020,51.80000305,17
5925,107.1999969,17
5930,109.4000092,17
5935,104.6000061,17
5940,101.3600006,17
5945,95.6000061,17
5950,93.1000061,17
5955,95.46000671,17
5960,84.72000122,17
5965,83.37001038,17
5970,82.37001038,17
5975,77.30000305,17
5980,73,17
5985,71.30000305,17
5990,69.40000916,17
5995,65.02999878,17
6000,61.97999573,17
6005,58.55000305,17
6010,59.57000732,17
6015,56.5,17
6020,52.8500061,17
5925,131.7200012,27
5930,125.6999969,27
5935,128.8300018,27
5940,121.5200043,27
5945,115.1999969,27
5950,111.5299988,27
5955,110.4400024,27
5960,108,27
5965,105.5,27
5970,102.3500061,27
5975,97.15000916,27
5980,96.80000305,27
5985,89.40000916,27
5990,89.6000061,27
5995,86.46000671,27
6000,80.55999756,27
6005,84.40000916,27
6010,77.91000366,27
6015,73.90000916,27
6020,70.5,27
5925,159.3300018,45
5930,167.1000061,45
5935,146.6000061,45
5940,147.6499939,45
5945,154.1000061,45
5950,152.8999939,45
5960,146.6999969,45
5965,143.6000061,45
5970,140.6000061,45
5975,138.6000061,45
5980,140.1000061,45
5985,134.3999939,45
5990,128.3000031,45
5995,126.9000092,45
6000,121.5500031,45
6005,122,45
6010,123.4300079,45
6015,113.6000061,45
6020,116.2100067,45
